,date,time,Vctrl,stretchAmt,stretchAngle,AmtFreq1,Freq1,errFreq1,AmtAmp1,Amp1,errAmp1,AmtFreq2,Freq2,errFreq2,AmtAmp2,Amp2,errAmp2,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,V_diode_shunt,V_diode,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps,Diode_amps,angle,strain
546,5/2/2023,11:52 AM,0.0,2.1e-05,45.0,512.0,431351500.0,1375500.0,512.0,0.0615335,0.0011499,512,438593600.0,1328500.0,512,0.0602057,0.0015286,0.042768145,0.020334053,1.1958713,0.042625469,0.000174975,350.72611,351.00204,350.46194,23.768,-2.175e-06,-1.0307076,0.0008144761950104,0.000815330317521,0.0035549043706293,1.7763959390862945e-07,-2.172827172827173e-09,11.658273547421924,0.00036216327965703053
547,5/2/2023,11:52 AM,0.1,2.1e-05,45.0,512.0,475045700.0,2028800.0,512.0,0.0615735,0.0009959681,512,488131200.0,1677500.0,512,0.0597937,0.0015373,0.038068072,0.021617165,1.1957519,0.038048388,0.000189438,350.72504,351.00097,350.45873,23.666,-2.501e-06,-0.8445003,0.000724968044182,0.0007277809487375,0.0037792246503496,1.923228426395939e-07,-2.4985014985014983e-09,11.899111819239867,0.00036188116109111233
548,5/2/2023,11:53 AM,0.2,2.1e-05,45.0,512.0,534438000.0,2366300.0,512.0,0.0550338,0.0013407,512,540171300.0,1928200.0,512,0.0533602,0.0011902,0.038806143,0.022628193,1.1955456,0.038836592,0.000178998,350.72397,351.00097,350.45659,23.663,-2.066e-06,-0.65850653,0.0007390238621215,0.0007428575363427,0.0039559777972027,1.817238578680203e-07,-2.063936063936064e-09,12.05189765681062,0.00036268129097102376
549,5/2/2023,11:53 AM,0.3,2.1e-05,45.0,512.0,603279800.0,2803500.0,512.0,0.0571634,0.0011028,512,591647400.0,2350100.0,512,0.0551282,0.0012008,0.038867477,0.022700945,1.1953828,0.039140759,0.000191395,350.7229,350.9999,350.45659,23.463,-2.501e-06,-0.47307919,0.0007401919063035,0.0007486755738332,0.0039686966783216,1.9430964467005082e-07,-2.4985014985014983e-09,11.932739193740968,0.00036069500940494277
550,5/2/2023,11:53 AM,0.4,2.1e-05,45.0,512.0,664978600.0,3360800.0,512.0,0.0590694,0.0018116,512,640279200.0,2401300.0,512,0.0540295,0.0013449,0.038332002,0.021721671,1.1957736,0.038801685,0.000191722,350.72504,351.00097,350.4598,23.707,-2.392e-06,-0.28747354,0.0007299943248904,0.0007421898431522,0.0037974949300699,1.946416243654822e-07,-2.3896103896103903e-09,11.778972168066854,0.00036131359316365647
551,5/2/2023,11:54 AM,0.5,2.1e-05,45.0,512.0,716631900.0,3543700.0,512.0,0.0628746,0.0020262,512,685684600.0,2993800.0,512,0.0593204,0.0010762,0.037737151,0.020409959,1.1956867,0.038244786,0.000169102,350.72611,351.00204,350.4598,23.812,-2.936e-06,-0.10087749,0.0007186659874309,0.0007315376052027,0.0035681746503496,1.7167715736040608e-07,-2.933066933066933e-09,11.898994412354124,0.0003632929620572076
552,5/2/2023,11:54 AM,0.6,2.1e-05,45.0,512.0,762625900.0,4597000.0,512.0,0.0596705,0.0010189,512,729112000.0,3200800.0,512,0.0567542,0.0013573,0.037708659,0.020460309,1.1958713,0.038547321,0.000197703,350.7229,350.9999,350.4598,23.675,-3.154e-06,0.084806189,0.0007181233860217,0.0007373244261667,0.003576977097902,2.007137055837564e-07,-3.150849150849151e-09,11.572274518921454,0.00035900401249860833
553,5/2/2023,11:55 AM,0.7,2.1e-05,45.0,512.0,805214400.0,5345400.0,512.0,0.0572216,0.0015482,512,768472200.0,4314300.0,512,0.0559341,0.0010121,0.038088407,0.022002892,1.1955782,0.038343311,0.000197703,350.72504,350.99883,350.4598,23.738,-2.175e-06,0.26949649,0.0007253553037516,0.0007334221690895,0.0038466594405594,2.007137055837564e-07,-2.172827172827173e-09,11.710724616619169,0.0003580430349494761
554,5/2/2023,11:55 AM,0.8,2.1e-05,45.0,512.0,833366300.0,4952000.0,512.0,0.0493404,0.002201,512,799472600.0,4575900.0,512,0.0545279,0.0017239,0.038410735,0.023078952,1.1955348,0.038642367,0.000200748,350.72825,351.00204,350.46194,23.908,1.0875e-05,0.4556771,0.0007314937154827,0.0007391424445294,0.0040347818181818,2.0380507614213202e-07,1.0864135864135865e-08,11.831363233753866,0.00036284294903892963
555,5/2/2023,11:56 AM,0.9,2.1e-05,45.0,512.0,837800300.0,5041600.0,512.0,0.0491797,0.001487,512,811661100.0,4020200.0,512,0.0502718,0.0022696,0.040154613,0.023403889,1.1955456,0.040588733,0.000184653,350.72504,351.00097,350.46087,23.796,0.010442479,0.63195598,0.0007647041135021,0.0007763720925784,0.0040915889860139,1.8746497461928935e-07,1.0432046953046953e-05,11.658391555552921,0.00036075146804518223
556,5/2/2023,11:56 AM,1.0,2.1e-05,45.0,512.0,835282300.0,5079200.0,512.0,0.0488852,0.0017573,512,811228800.0,4122500.0,512,0.0499954,0.0021093,0.046114744,0.024155553,1.1953611,0.046496234,0.000218691,350.72611,351.00097,350.46087,23.753,0.15041353,0.67836299,0.0008782087983241,0.0008893694338179,0.0042229987762237,2.2202131979695434e-07,0.0001502632667332,11.744833436077418,0.0003610899037536192
557,5/2/2023,11:56 AM,1.1,2.1e-05,45.0,512.0,834744300.0,5310900.0,512.0,0.0488528,0.0019031,512,812365300.0,3788700.0,512,0.0495229,0.0019047,0.047004084,0.024288007,1.1953068,0.047363931,0.000205315,350.72718,350.9999,350.4598,23.68,0.32882032,0.68550814,0.000895145381832,0.0009059665455241,0.00424615506993,2.0844162436548227e-07,0.0003284918281718,11.918452842072456,0.0003603634019300276
558,5/2/2023,11:57 AM,1.2,2.1e-05,45.0,512.0,841764700.0,5064300.0,512.0,0.0494449,0.0011863,512,820119400.0,3855900.0,512,0.0493115,0.0013899,0.038543841,0.023269478,1.1953068,0.039106612,0.00021271,350.72504,350.99883,350.45766,23.546,0.50712837,0.69285847,0.0007340285850314,0.0007480224177505,0.0040680905594405,2.159492385786802e-07,0.0005066217482517,11.952264652494287,0.0003591774963782174
559,5/2/2023,11:58 AM,0.0,0.0,45.0,512.0,431600600.0,1490800.0,512.0,0.0616172,0.001122,512,438793000.0,1361100.0,512,0.0603674,0.0014861,0.042826434,0.020348516,1.195893,0.042679951,0.000191722,350.74429,350.98279,350.58814,23.685,-2.719e-06,-1.0304797,0.000815586250238,0.0008163724368783,0.0035574328671328,1.946416243654822e-07,-2.716283716283716e-09,-5.00963109738072,0.00031561317928157013
560,5/2/2023,11:58 AM,0.1,0.0,45.0,512.0,475417100.0,1959000.0,512.0,0.0616612,0.0009989698,512,488571400.0,1715100.0,512,0.0598396,0.0016636,0.038088516,0.021627169,1.195969,0.038119292,0.000151703,350.74108,350.97958,350.58814,23.628,-3.045e-06,-0.84447424,0.0007253573795467,0.0007291371843917,0.0037809736013986,1.5401319796954318e-07,-3.041958041958042e-09,-5.464545423642632,0.0003121463119907666
