date,time,Vctrl,stretchAmt,stretchAngle,Freq1,errFreq1,Amp1,errAmp1,Freq2,errFreq2,Amp2,errAmp2,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps,AmtFreq1,AmtAmp1,AmtFreq2,AmtAmp2
4/14/2023,11:38 AM,0.2,2e-05,315.0,535722400.0,2363200.0,0.0548517,0.0013709,542071100.0,2074600.0,0.0527792,0.0010262,0.038813212,0.022118277,1.195665,0.038891401,0.000204554,350.80525,350.82771,350.80953,24.139,0.000739158484098267,0.0007439059104820199,0.0038668316433566434,2.0766903553299493e-07,32,32,32,32
4/14/2023,11:38 AM,0.3,2e-05,315.0,604366800.0,3142200.0,0.0568293,0.0009790122,593233000.0,2271700.0,0.0543722,0.0011554,0.038776887,0.021976684,1.1958496,0.039107373,0.000185197,350.80204,350.82343,350.80846,24.088,0.0007384667111026472,0.000748036973986228,0.0038420776223776227,1.8801725888324873e-07,32,32,32,32
4/14/2023,11:39 AM,0.4,2e-05,315.0,666871200.0,3646100.0,0.0602482,0.0015816,641160700.0,2632200.0,0.0541826,0.0011667,0.037965305,0.020877899,1.1960124,0.038468045,0.000180086,350.80311,350.8245,350.80846,24.123,0.0007230109502951819,0.0007358080527926549,0.0036499823426573426,1.828284263959391e-07,32,32,32,32
4/14/2023,11:39 AM,0.5,2e-05,315.0,717926600.0,3988800.0,0.0610408,0.0015513,686797700.0,3295900.0,0.0582087,0.0010548,0.037588494,0.019636436,1.1962729,0.038042842,0.000178563,350.80097,350.82557,350.80739,24.166,0.0007158349647686155,0.0007276748661055853,0.0034329433566433567,1.8128223350253805e-07,32,32,32,32
4/14/2023,11:39 AM,0.6,2e-05,315.0,763350800.0,4346100.0,0.0594909,0.0009605633,730072300.0,3368700.0,0.0562814,0.000938503,0.037568484,0.019827396,1.1960992,0.038488815,0.000190417,350.80204,350.8245,350.80739,24.147,0.0007154538944962864,0.0007362053366488142,0.0034663279720279724,1.933167512690355e-07,32,32,32,32
4/14/2023,11:39 AM,0.7,2e-05,315.0,805331900.0,5268900.0,0.0561817,0.0017351,769071600.0,4173200.0,0.0544664,0.0009655596,0.038128861,0.021561812,1.1955891,0.038348749,0.000210535,350.80311,350.82664,350.80525,24.265,0.0007261257093886879,0.0007335261859219587,0.0037695475524475524,2.1374111675126905e-07,32,32,32,32
4/14/2023,11:40 AM,0.8,2e-05,315.0,833296800.0,5224800.0,0.0503959,0.001115,800094500.0,5239600.0,0.0523521,0.0019976,0.038380938,0.022537389,1.1953503,0.038624097,0.000202488,350.80311,350.82664,350.80739,24.294,0.000730926261664445,0.0007387929801071155,0.003940102972027972,2.055715736040609e-07,32,32,32,32
4/14/2023,11:40 AM,0.9,2e-05,315.0,839146200.0,4887600.0,0.0501263,0.0010225,813063800.0,4228700.0,0.0486176,0.0014642,0.038168554,0.022648855,1.1956216,0.038710986,0.000195854,350.80525,350.82557,350.80525,24.25,0.0007268816225480861,0.0007404549732211171,0.003959590034965035,1.9883654822335025e-07,32,32,32,32
4/14/2023,11:40 AM,1.0,2e-05,315.0,840566000.0,5189000.0,0.050074,0.0010477,815594500.0,4913900.0,0.0487251,0.0013442,0.038100805,0.022657881,1.1952309,0.038683799,0.000185849,350.80418,350.8245,350.80739,24.21,0.0007255914111597791,0.0007399349464422341,0.003961168006993007,1.8867918781725887e-07,32,32,32,32
4/14/2023,11:40 AM,1.1,2e-05,315.0,841382800.0,4732700.0,0.0501205,0.0010902,818462200.0,4469000.0,0.0489906,0.0011864,0.037830567,0.022664406,1.1952634,0.038481638,0.000207708,350.80525,350.8245,350.80739,24.205,0.0007204450009521997,0.0007360680566182096,0.003962308741258741,2.108710659898477e-07,32,32,32,32
4/14/2023,11:40 AM,1.2,2e-05,315.0,848170500.0,5496800.0,0.0502302,0.0009447569,825999400.0,4082500.0,0.0493768,0.0010135,0.032299117,0.022163624,1.1958821,0.032981075,0.000191178,350.80311,350.82557,350.80632,24.151,0.0006151041135021902,0.0006308545332823259,0.0038747594405594407,1.9408934010152283e-07,32,32,32,32
4/14/2023,11:41 AM,0.0,4e-05,315.0,432705400.0,1106600.0,0.0616643,0.0008676483,439861800.0,1459200.0,0.0594423,0.0018503,0.042693762,0.019719084,1.1962837,0.042566745,0.000181173,350.84161,350.85017,351.01915,24.303,0.000813059645781756,0.0008142070581484316,0.003447392307692308,1.8393197969543148e-07,32,32,32,32
4/14/2023,11:42 AM,0.1,4e-05,315.0,476148100.0,1978800.0,0.0616141,0.0011341,489534500.0,1501000.0,0.0584547,0.002281,0.038076663,0.021059073,1.1961101,0.038126686,0.000183566,350.84268,350.84803,351.01808,24.311,0.0007251316511140735,0.0007292786151491966,0.003681656118881119,1.8636142131979695e-07,32,32,32,32
4/14/2023,11:42 AM,0.2,4e-05,315.0,535569600.0,2348500.0,0.0548918,0.0010016,541437400.0,2004900.0,0.0523826,0.0009838942,0.038949907,0.022151662,1.1961752,0.039045061,0.000213906,350.84268,350.85017,351.01915,24.293,0.0007417617025328509,0.0007468450841622035,0.0038726681818181817,2.1716345177664974e-07,32,32,32,32
4/14/2023,11:42 AM,0.3,4e-05,315.0,604704000.0,2844000.0,0.0568311,0.0011355,593196400.0,2751700.0,0.0540927,0.001125,0.038937401,0.021986471,1.1960341,0.039255814,0.000193788,350.84161,350.85017,351.01808,24.345,0.0007415235383736432,0.0007508763198163734,0.0038437886363636366,1.9673908629441623e-07,32,32,32,32
4/14/2023,11:42 AM,0.4,4e-05,315.0,667111200.0,3099800.0,0.0598198,0.0014526,641323800.0,2658600.0,0.0542131,0.0012328,0.038136256,0.020890187,1.1962946,0.03863856,0.000171821,350.84268,350.85017,351.01594,24.41,0.0007262665397067226,0.0007390696250956388,0.0036521305944055946,1.7443756345177666e-07,32,32,32,32
4/14/2023,11:42 AM,0.5,4e-05,315.0,718268300.0,3460800.0,0.0612155,0.0013703,686759100.0,3245400.0,0.0583347,0.0011448,0.037769125,0.019664166,1.1967722,0.03824968,0.000168776,350.84375,350.85124,351.01594,24.498,0.000719274900019044,0.0007316312165263964,0.003437791258741259,1.7134619289340103e-07,32,32,32,32
4/14/2023,11:43 AM,0.6,4e-05,315.0,763946100.0,4285100.0,0.0595704,0.0010606,729774000.0,3157700.0,0.0560687,0.0009704208,0.037641671,0.01982881,1.195893,0.038564395,0.000182369,350.84375,350.85124,351.01594,24.487,0.0007168476671110265,0.000737651013771997,0.0034665751748251747,1.85146192893401e-07,32,32,32,32
4/14/2023,11:43 AM,0.7,4e-05,315.0,806619600.0,4899200.0,0.056078,0.001663,770149300.0,4975600.0,0.0546095,0.0010595,0.038167032,0.0215542,1.1952526,0.038405189,0.000189764,350.84375,350.85017,351.01594,24.423,0.0007268526375928395,0.0007346057574598317,0.003768216783216783,1.92653807106599e-07,32,32,32,32
4/14/2023,11:43 AM,0.8,4e-05,315.0,834336100.0,4090300.0,0.0506304,0.0010227,801556500.0,4208700.0,0.0521048,0.0020337,0.038498276,0.022560879,1.1957302,0.038805056,0.000194658,350.84268,350.85017,351.01594,24.447,0.000733160845553228,0.0007422543228768171,0.003944209615384615,1.9762233502538073e-07,32,32,32,32
4/14/2023,11:43 AM,0.9,4e-05,315.0,839373700.0,5328700.0,0.0501653,0.0010717,812376800.0,4154000.0,0.0488903,0.0016716,0.038323193,0.022662231,1.1958387,0.038870739,0.000197159,350.84161,350.85017,351.01487,24.489,0.0007298265663683108,0.0007435106924254017,0.003961928496503497,2.0016142131979695e-07,32,32,32,32
4/14/2023,11:43 AM,1.0,4e-05,315.0,839595100.0,5340600.0,0.0501921,0.0009330603,817800300.0,4118800.0,0.0487274,0.0013607,0.038282739,0.022691702,1.1957193,0.03892098,0.00021619,350.84375,350.85017,351.01487,24.54,0.0007290561607312893,0.0007444716908951798,0.00396708076923077,2.1948223350253806e-07,32,32,32,32
4/14/2023,11:44 AM,1.1,4e-05,315.0,842228700.0,4928900.0,0.0499568,0.0010585,819477200.0,4202100.0,0.048705,0.0012037,0.038005216,0.022683437,1.1956325,0.038680537,0.000223802,350.84482,350.85124,351.01487,24.578,0.0007237710150447534,0.0007398725516449885,0.003965635839160839,2.2721015228426394e-07,32,32,32,32
4/14/2023,11:44 AM,1.2,4e-05,315.0,846862600.0,5353600.0,0.0501669,0.0009936669,824962000.0,4202200.0,0.0492426,0.0010729,0.032400687,0.022166996,1.195893,0.033152461,0.000191395,350.84589,350.8491,351.01594,24.583,0.0006170384117310989,0.0006341327658760521,0.0038753489510489516,1.9430964467005076e-07,32,32,32,32
4/14/2023,11:45 AM,0.0,6e-05,315.0,432137700.0,1320600.0,0.061405,0.0010045,440031800.0,1673800.0,0.0596168,0.0016227,0.042809904,0.019722455,1.1960341,0.042680604,0.000166492,350.89295,350.87049,351.21701,24.687,0.0008152714530565607,0.0008163849273144605,0.0034479816433566433,1.6902741116751268e-07,32,32,32,32
4/14/2023,11:45 AM,0.1,6e-05,315.0,475815000.0,1923400.0,0.0614601,0.0010336,489613800.0,1667700.0,0.0589185,0.0017226,0.03819933,0.021058312,1.1959364,0.038257292,0.000194223,350.89295,350.87156,351.21273,24.77,0.0007274677204342029,0.0007317768171384851,0.0036815230769230768,1.9718071065989847e-07,32,32,32,32
4/14/2023,11:45 AM,0.2,6e-05,315.0,535174700.0,2226600.0,0.0548839,0.0010815,542088100.0,1931300.0,0.052277,0.0008683485,0.039078664,0.022148508,1.1959473,0.039187412,0.000191395,350.89295,350.87263,351.21166,24.767,0.0007442137497619501,0.0007495679418515684,0.0038721167832167836,1.9430964467005076e-07,32,32,32,32
