date,time,Vctrl,stretchAmt,stretchAngle,Freq1,errFreq1,Amp1,errAmp1,Freq2,errFreq2,Amp2,errAmp2,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps,AmtFreq1,AmtAmp1,AmtFreq2,AmtAmp2,angle,strain,stretchDiffs
4/14/2023,1:40 PM,0.0,2e-05,45.0,432307700.0,1278500.0,0.0626263,0.001136,437587900.0,1625700.0,0.0597426,0.0021912,0.042884179,0.019615012,1.1961752,0.042710618,0.000165079,350.34857,350.80632,350.20205,25.751,0.0008166859455341,0.0008169590283091,0.0034291979020979,1.6759289340101522e-07,32,32,32,32,10.102394971483054,0.00014714590589721423,2e-05
4/14/2023,1:40 PM,0.1,2e-05,45.0,476036500.0,1701800.0,0.0625455,0.0009637913,487120300.0,1634300.0,0.0591714,0.0014219,0.038203462,0.020908239,1.1959581,0.038254791,0.000198355,350.3475,350.80632,350.19991,25.845,0.0007275464102075,0.0007317289785768,0.0036552865384615,2.013756345177665e-07,32,32,32,32,10.22159997999685,0.0001478384896619183,2e-05
4/14/2023,1:40 PM,0.2,2e-05,45.0,535094000.0,2113300.0,0.0554565,0.0012774,539204500.0,1992000.0,0.0524861,0.0011224,0.039067028,0.02192927,1.1956433,0.039137062,0.000186284,350.34964,350.80632,350.20098,25.818,0.0007439921538754,0.0007486048584544,0.0038337884615384,1.891208121827411e-07,32,32,32,32,10.255283908694901,0.00014792723134277454,2e-05
4/14/2023,1:40 PM,0.3,2e-05,45.0,603667500.0,3115100.0,0.0573333,0.0012163,591070300.0,1967200.0,0.0544443,0.0010615,0.039048215,0.02193014,1.1954914,0.039253965,0.000197594,350.3475,350.80525,350.19991,25.765,0.000743633879261,0.0007508409525631,0.0038339405594405,2.006030456852792e-07,32,32,32,32,10.19320381227996,0.00014622404221813548,2e-05
4/14/2023,1:40 PM,0.4,2e-05,45.0,666772000.0,3073700.0,0.0605479,0.001747,639773700.0,2518600.0,0.0542469,0.001386,0.038191391,0.020873658,1.1958604,0.038706419,0.000174975,350.3475,350.80418,350.20098,25.751,0.0007273165301847,0.0007403676166794,0.0036492409090909,1.7763959390862945e-07,32,32,32,32,10.073720202347573,0.0001441211231790646,2e-05
4/14/2023,1:41 PM,0.5,2e-05,45.0,718448500.0,3333000.0,0.0619424,0.0018726,685862300.0,2767500.0,0.0585804,0.0012142,0.037811428,0.019613164,1.1960775,0.038292526,0.000171603,350.34643,350.80525,350.20098,25.829,0.0007200805179965,0.0007324507651109,0.0034288748251748,1.7421624365482236e-07,32,32,32,32,10.040456464571148,0.00014544754913460318,2e-05
4/14/2023,1:41 PM,0.6,2e-05,45.0,763288400.0,4472400.0,0.0603723,0.0009680331,729230300.0,3086400.0,0.0565256,0.0012507,0.037911693,0.019791836,1.1960992,0.038767535,0.000197485,350.3475,350.80525,350.19991,25.842,0.0007219899638164,0.0007415366296863,0.0034601111888111,2.0049238578680206e-07,32,32,32,32,10.19320381227996,0.00014622404221813548,2e-05
4/14/2023,1:41 PM,0.7,2e-05,45.0,805095100.0,4809000.0,0.0567132,0.0027401,768377600.0,4326200.0,0.0549638,0.0010538,0.038406602,0.021426204,1.1955782,0.038623771,0.000186937,350.34964,350.80632,350.19991,25.875,0.0007314150066653,0.0007387867444529,0.0037458398601398,1.897837563451777e-07,32,32,32,32,10.34582006776347,0.00014842450032338155,2e-05
4/14/2023,1:41 PM,0.8,2e-05,45.0,833982300.0,3714100.0,0.0506712,0.0009792977,799317500.0,4192000.0,0.0528144,0.0020072,0.038735889,0.022504656,1.1956976,0.038904342,0.00019966,350.34857,350.80632,350.20098,25.829,0.0007376859455341,0.0007441534429992,0.0039343804195804,2.027005076142132e-07,32,32,32,32,10.193128452294848,0.00014763611238262006,2e-05
4/14/2023,1:41 PM,0.9,2e-05,45.0,839593600.0,5011500.0,0.050443,0.0009890425,812970300.0,3667400.0,0.0494021,0.0017783,0.038501104,0.022599701,1.1955131,0.03892533,0.000220213,350.34857,350.80632,350.19991,25.829,0.0007332147019615,0.00074455489671,0.0039509966783216,2.235664974619289e-07,32,32,32,32,10.283648847917311,0.0001481305096527524,2e-05
4/14/2023,1:42 PM,1.0,2e-05,45.0,841823800.0,4677800.0,0.0502089,0.0011305,816973100.0,3919400.0,0.0489022,0.0011876,0.038485444,0.022628955,1.1955022,0.038960891,0.000189112,350.3475,350.80632,350.19991,25.801,0.0007329164730527,0.0007452350994644,0.003956111013986,1.919918781725888e-07,32,32,32,32,10.22159997999685,0.0001478384896619183,2e-05
