date,time,Vctrl,stretchAmt,stretchAngle,AmtFreq1,Freq1,errFreq1,AmtAmp1,Amp1,errAmp1,AmtFreq2,Freq2,errFreq2,AmtAmp2,Amp2,errAmp2,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,V_diode_shunt,V_diode,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps,Diode_amps,stretchDiffs
5/3/2023,11:45 AM,1.2,0.0,90.0,512.0,840094600.0,5447000.0,512.0,0.0500477,0.0011631,512,818921700.0,3727800.0,512,0.0496009,0.0012846,0.038826479,0.023230329,1.1956542,0.0393377,0.000217821,350.79669,350.86942,350.51007,24.341,0.50936712,0.6905741,3.8826479e-05,3.93377e-05,2.3230329e-05,2.1782100000000003e-07,0.00050936712,0.0
5/3/2023,11:46 AM,0.0,2e-05,90.0,512.0,429341500.0,1372700.0,512.0,0.0623185,0.0010899,512,437282100.0,1320300.0,512,0.0603453,0.0015487,0.042907886,0.020288379,1.1961426,0.04279033,0.000162577,350.92824,350.71648,350.49723,24.294,-2.392e-06,-1.030675,4.2907886e-05,4.2790330000000005e-05,2.0288379e-05,1.6257700000000001e-07,-2.392e-09,2e-05
5/3/2023,11:46 AM,0.1,2e-05,90.0,512.0,472949200.0,2028200.0,512.0,0.0620842,0.0010845,512,486736500.0,1648100.0,512,0.0599084,0.0013676,0.038208138,0.021529406,1.1960992,0.038222275,0.000213362,350.93038,350.72076,350.49937,24.342,-2.936e-06,-0.84427989,3.8208138e-05,3.8222275e-05,2.1529406e-05,2.13362e-07,-2.9359999999999998e-09,2e-05
5/3/2023,11:47 AM,0.2,2e-05,90.0,512.0,531864800.0,2160300.0,512.0,0.0553397,0.0016274,512,538428700.0,1907900.0,512,0.0535424,0.0012524,0.038945231,0.022501503,1.1957953,0.03895839,0.000194875,350.92931,350.71862,350.4983,24.286,-2.392e-06,-0.65862161,3.8945231e-05,3.895839e-05,2.2501503e-05,1.94875e-07,-2.392e-09,2e-05
5/3/2023,11:47 AM,0.3,2e-05,90.0,512.0,600044400.0,3181300.0,512.0,0.0571407,0.0011623,512,589711200.0,2469900.0,512,0.055257,0.0012086,0.039098239,0.022685938,1.1959581,0.039371303,0.000204119,350.92824,350.71969,350.49723,24.428,-2.719e-06,-0.47265468,3.9098239e-05,3.9371303e-05,2.2685938e-05,2.04119e-07,-2.719e-09,2e-05
5/3/2023,11:48 AM,0.4,2e-05,90.0,512.0,661444900.0,3275900.0,512.0,0.059234,0.0017984,512,637573900.0,2424300.0,512,0.0541277,0.0014163,0.038495231,0.021735482,1.1958713,0.039062461,0.000172256,350.92824,350.72397,350.4983,24.673,-3.045e-06,-0.28707725,3.8495231e-05,3.9062461e-05,2.1735482e-05,1.72256e-07,-3.045e-09,2e-05
5/3/2023,11:48 AM,0.5,2e-05,90.0,512.0,713104300.0,3278300.0,512.0,0.0633435,0.00181,512,682844300.0,3002400.0,512,0.0593666,0.001147,0.037853948,0.020397453,1.196262,0.038390834,0.000169537,350.93038,350.72183,350.49616,24.555,-2.719e-06,-0.10078086,3.7853948e-05,3.8390834e-05,2.0397453e-05,1.6953700000000004e-07,-2.719e-09,2e-05
5/3/2023,11:49 AM,0.6,2e-05,90.0,512.0,758753000.0,4484800.0,512.0,0.0606742,0.0010712,512,726049800.0,3130600.0,512,0.0568231,0.0013913,0.037841768,0.020468682,1.1961861,0.038644324,0.000185197,350.93038,350.71969,350.49723,24.509,-3.045e-06,0.085050114,3.7841768e-05,3.8644324e-05,2.0468682e-05,1.8519700000000001e-07,-3.045e-09,2e-05
5/3/2023,11:49 AM,0.7,2e-05,90.0,512.0,800633800.0,5273500.0,512.0,0.057846,0.0017303,512,765611100.0,4308700.0,512,0.0563303,0.0010534,0.038124185,0.021779742,1.1960341,0.038447817,0.000200639,350.93145,350.71862,350.49723,24.434,-2.827e-06,0.2697245,3.8124185e-05,3.8447817e-05,2.1779742e-05,2.00639e-07,-2.8270000000000003e-09,2e-05
5/3/2023,11:49 AM,0.8,2e-05,90.0,512.0,828732200.0,5060600.0,512.0,0.0503189,0.0023855,512,795876000.0,4294300.0,512,0.0549052,0.0015106,0.038410735,0.022937253,1.1957302,0.038654438,0.00021097,350.92931,350.71862,350.4983,24.395,1.1201e-05,0.4557987,3.8410735e-05,3.8654438e-05,2.2937253e-05,2.1097e-07,1.1201e-08,2e-05
5/3/2023,11:50 AM,0.9,2e-05,90.0,512.0,833825100.0,5199200.0,512.0,0.049961,0.001683,512,807898800.0,3919800.0,512,0.0521633,0.0023201,0.040279237,0.023308301,1.1955565,0.040680298,0.000198682,350.92824,350.71327,350.49723,24.089,0.01102341,0.63201678,4.0279237e-05,4.0680298e-05,2.3308301e-05,1.98682e-07,1.102341e-05,2e-05
5/3/2023,11:50 AM,1.0,2e-05,90.0,512.0,830802700.0,4888700.0,512.0,0.0499292,0.0019734,512,807369100.0,4279000.0,512,0.0520126,0.0022322,0.046218819,0.02405409,1.1955456,0.046638367,0.000215429,350.92824,350.71755,350.49723,24.546,0.152636,0.67606778,4.6218819e-05,4.6638367e-05,2.405409e-05,2.15429e-07,0.000152636,2e-05
5/3/2023,11:51 AM,1.1,2e-05,90.0,512.0,830466900.0,5025300.0,512.0,0.0497916,0.0020086,512,808451400.0,3801300.0,512,0.0514622,0.002122,0.047108482,0.024187416,1.1955348,0.047520962,0.000235112,350.92824,350.71862,350.49723,24.416,0.33103085,0.68321184,4.7108482e-05,4.7520962e-05,2.4187416e-05,2.35112e-07,0.0003310308499999,2e-05
5/3/2023,11:51 AM,1.2,2e-05,90.0,512.0,836943600.0,5575900.0,512.0,0.0499658,0.0014124,512,816072600.0,3629500.0,512,0.0495119,0.0015672,0.038767535,0.023175955,1.1956108,0.039284414,0.000194114,350.92824,350.71755,350.49723,24.362,0.5096885,0.69044382,3.8767535e-05,3.9284414e-05,2.3175955e-05,1.9411400000000001e-07,0.0005096885,2e-05
5/3/2023,11:52 AM,0.0,4e-05,90.0,512.0,428300100.0,1373300.0,512.0,0.0622142,0.0011336,512,436688300.0,1425700.0,512,0.0601993,0.0014477,0.042855904,0.020263041,1.1960667,0.042712249,0.000180194,351.08653,350.6245,350.53146,24.145,-2.61e-06,-1.0304254,4.2855904e-05,4.2712249e-05,2.0263041e-05,1.80194e-07,-2.61e-09,2e-05
