date,time,Vctrl,stretchAmt,stretchAngle,Freq1,errFreq1,Amp1,errAmp1,Freq2,errFreq2,Amp2,errAmp2,VDD_VCO1_shunt,VDD_driver_shunt,VDD,VDD_VCO2_shunt,VDD_ring_shunt,strain_1,strain_2,strain_3,temp,VDD_VCO1_amps,VDD_VCO2_amps,VDD_driver_amps,VDD_ring_amps
4/14/2023,11:34 AM,0.0,0.0,315.0,432929400.0,1597200.0,0.061616,0.0009445553,440807600.0,1480800.0,0.0592682,0.0018337,0.042520745,0.019726478,1.1964357,0.042372848,0.000168885,350.82557,350.89295,350.68226,23.718,4.2520745e-05,4.2372848e-05,1.9726477999999998e-05,1.68885e-07
4/14/2023,11:35 AM,0.1,0.0,315.0,476837900.0,1926000.0,0.0615624,0.0011545,489959100.0,1990800.0,0.0586217,0.0020636,0.037928875,0.021055267,1.1962078,0.037982922,0.000157792,350.82557,350.89509,350.68119,23.755,3.7928875e-05,3.7982922000000005e-05,2.1055266999999998e-05,1.57792e-07
4/14/2023,11:35 AM,0.2,0.0,315.0,536377700.0,2841600.0,0.0551902,0.0010672,541826700.0,1890500.0,0.052568,0.0009856989,0.038718164,0.0221397,1.1956433,0.038783412,0.00020662,350.82771,350.89402,350.68012,23.736,3.8718164e-05,3.8783412000000005e-05,2.2139699999999997e-05,2.0662e-07
4/14/2023,11:35 AM,0.3,0.0,315.0,604790200.0,2591500.0,0.0568603,0.0009528696,593491600.0,2578600.0,0.0544419,0.0010794,0.038698372,0.021961785,1.1956433,0.038987751,0.000190852,350.82878,350.89509,350.67905,23.843,3.8698372e-05,3.8987751e-05,2.1961785000000003e-05,1.9085200000000002e-07
4/14/2023,11:35 AM,0.4,0.0,315.0,667074000.0,3047800.0,0.0600165,0.0016801,642106300.0,2987100.0,0.0544634,0.0012686,0.037815995,0.020844405,1.1956542,0.038337113,0.000170298,350.82771,350.89509,350.68333,23.846,3.7815995e-05,3.8337113e-05,2.0844405e-05,1.7029799999999998e-07
4/14/2023,11:35 AM,0.5,0.0,315.0,718341400.0,3546200.0,0.0609222,0.001385,686853800.0,3053800.0,0.0587481,0.0010365,0.037451146,0.019618818,1.1958061,0.037880917,0.000173452,350.82771,350.89509,350.68012,23.755,3.7451146e-05,3.7880917e-05,1.9618818e-05,1.7345199999999998e-07
4/14/2023,11:36 AM,0.6,0.0,315.0,764700300.0,4033300.0,0.0595808,0.001089,731251800.0,3236500.0,0.0563005,0.0011086,0.037428852,0.019819131,1.1958713,0.038377458,0.000180738,350.82878,350.89402,350.68119,23.726,3.7428852e-05,3.8377458e-05,1.9819131e-05,1.8073800000000001e-07
4/14/2023,11:36 AM,0.7,0.0,315.0,807700700.0,5424200.0,0.0561034,0.0018983,770179200.0,4326300.0,0.0545949,0.0010877,0.038050454,0.021597046,1.1955999,0.038214337,0.000184001,350.82878,350.89509,350.68119,23.697,3.8050454e-05,3.8214337e-05,2.1597046000000003e-05,1.8400099999999998e-07
4/14/2023,11:36 AM,0.8,0.0,315.0,834940600.0,5355400.0,0.0505311,0.0011564,801471300.0,4379400.0,0.0518235,0.0023087,0.038273387,0.022545545,1.1955891,0.038556239,0.000172582,350.82771,350.89509,350.68226,23.731,3.8273386999999996e-05,3.8556239e-05,2.2545545e-05,1.72582e-07
4/14/2023,11:36 AM,0.9,0.0,315.0,840855000.0,5203400.0,0.0504154,0.0010528,812926400.0,4153200.0,0.0486852,0.0013867,0.038096128,0.022663862,1.1958387,0.038615397,0.000173017,350.82557,350.89295,350.68012,23.69,3.8096128e-05,3.8615397e-05,2.2663862e-05,1.73017e-07
4/14/2023,11:36 AM,1.0,0.0,315.0,841285300.0,4775700.0,0.0501452,0.00103,816619700.0,4067000.0,0.0489245,0.0010583,0.038061112,0.022693115,1.1957193,0.038657809,0.000204119,350.82985,350.89616,350.68119,23.862,3.8061112e-05,3.8657809e-05,2.2693115e-05,2.04119e-07
4/14/2023,11:37 AM,1.1,0.0,315.0,842426600.0,5098500.0,0.0501871,0.0009671012,820488100.0,4619600.0,0.0489924,0.0012308,0.037842094,0.022688439,1.1955891,0.038428678,0.000208143,350.83092,350.8983,350.68012,23.929,3.7842094e-05,3.8428678e-05,2.2688439e-05,2.0814299999999999e-07
4/14/2023,11:37 AM,1.2,0.0,315.0,847037300.0,4678600.0,0.0501084,0.0010824,827011100.0,4915500.0,0.0492937,0.0010814,0.032243003,0.022182438,1.1956325,0.032975637,0.000181826,350.82985,350.8983,350.68119,23.961,3.2243003e-05,3.2975637000000004e-05,2.2182438e-05,1.81826e-07
4/14/2023,11:38 AM,0.0,2e-05,315.0,432238900.0,1432000.0,0.0615165,0.0009741161,439889800.0,1474900.0,0.059817,0.0016871,0.042525204,0.019694615,1.1959255,0.042382744,0.000137022,350.80311,350.82557,350.80953,24.063,4.2525203999999995e-05,4.2382744e-05,1.9694614999999997e-05,1.37022e-07
4/14/2023,11:38 AM,0.1,2e-05,315.0,476779100.0,1824500.0,0.0615565,0.0008256553,489134800.0,1804900.0,0.0580493,0.0024838,0.037986729,0.021051026,1.1960449,0.038020005,0.000164426,350.80311,350.82557,350.80739,24.101,3.7986729e-05,3.8020005000000006e-05,2.1051026e-05,1.64426e-07
4/14/2023,11:38 AM,0.2,2e-05,315.0,535722400.0,2363200.0,0.0548517,0.0013709,542071100.0,2074600.0,0.0527792,0.0010262,0.038813212,0.022118277,1.195665,0.038891401,0.000204554,350.80525,350.82771,350.80953,24.139,3.8813212e-05,3.8891401e-05,2.2118277e-05,2.04554e-07
4/14/2023,11:38 AM,0.3,2e-05,315.0,604366800.0,3142200.0,0.0568293,0.0009790122,593233000.0,2271700.0,0.0543722,0.0011554,0.038776887,0.021976684,1.1958496,0.039107373,0.000185197,350.80204,350.82343,350.80846,24.088,3.8776887e-05,3.9107373000000004e-05,2.1976684e-05,1.8519700000000001e-07
4/14/2023,11:39 AM,0.4,2e-05,315.0,666871200.0,3646100.0,0.0602482,0.0015816,641160700.0,2632200.0,0.0541826,0.0011667,0.037965305,0.020877899,1.1960124,0.038468045,0.000180086,350.80311,350.8245,350.80846,24.123,3.7965305e-05,3.8468045e-05,2.0877899e-05,1.8008600000000002e-07
4/14/2023,11:39 AM,0.5,2e-05,315.0,717926600.0,3988800.0,0.0610408,0.0015513,686797700.0,3295900.0,0.0582087,0.0010548,0.037588494,0.019636436,1.1962729,0.038042842,0.000178563,350.80097,350.82557,350.80739,24.166,3.7588494e-05,3.8042842e-05,1.9636436e-05,1.7856299999999998e-07
4/14/2023,11:39 AM,0.6,2e-05,315.0,763350800.0,4346100.0,0.0594909,0.0009605633,730072300.0,3368700.0,0.0562814,0.000938503,0.037568484,0.019827396,1.1960992,0.038488815,0.000190417,350.80204,350.8245,350.80739,24.147,3.7568484e-05,3.8488815000000004e-05,1.9827396e-05,1.9041699999999998e-07
4/14/2023,11:39 AM,0.7,2e-05,315.0,805331900.0,5268900.0,0.0561817,0.0017351,769071600.0,4173200.0,0.0544664,0.0009655596,0.038128861,0.021561812,1.1955891,0.038348749,0.000210535,350.80311,350.82664,350.80525,24.265,3.8128861e-05,3.8348749e-05,2.1561812e-05,2.10535e-07
4/14/2023,11:40 AM,0.8,2e-05,315.0,833296800.0,5224800.0,0.0503959,0.001115,800094500.0,5239600.0,0.0523521,0.0019976,0.038380938,0.022537389,1.1953503,0.038624097,0.000202488,350.80311,350.82664,350.80739,24.294,3.8380938e-05,3.8624097e-05,2.2537389000000002e-05,2.0248799999999998e-07
4/14/2023,11:40 AM,0.9,2e-05,315.0,839146200.0,4887600.0,0.0501263,0.0010225,813063800.0,4228700.0,0.0486176,0.0014642,0.038168554,0.022648855,1.1956216,0.038710986,0.000195854,350.80525,350.82557,350.80525,24.25,3.8168554e-05,3.8710986000000004e-05,2.2648855e-05,1.95854e-07
4/14/2023,11:40 AM,1.0,2e-05,315.0,840566000.0,5189000.0,0.050074,0.0010477,815594500.0,4913900.0,0.0487251,0.0013442,0.038100805,0.022657881,1.1952309,0.038683799,0.000185849,350.80418,350.8245,350.80739,24.21,3.8100805e-05,3.8683799e-05,2.2657881e-05,1.85849e-07
4/14/2023,11:40 AM,1.1,2e-05,315.0,841382800.0,4732700.0,0.0501205,0.0010902,818462200.0,4469000.0,0.0489906,0.0011864,0.037830567,0.022664406,1.1952634,0.038481638,0.000207708,350.80525,350.8245,350.80739,24.205,3.7830567e-05,3.8481638e-05,2.2664406000000002e-05,2.07708e-07
4/14/2023,11:40 AM,1.2,2e-05,315.0,848170500.0,5496800.0,0.0502302,0.0009447569,825999400.0,4082500.0,0.0493768,0.0010135,0.032299117,0.022163624,1.1958821,0.032981075,0.000191178,350.80311,350.82557,350.80632,24.151,3.2299117000000004e-05,3.2981075e-05,2.2163624e-05,1.91178e-07
4/14/2023,11:41 AM,0.0,4e-05,315.0,432705400.0,1106600.0,0.0616643,0.0008676483,439861800.0,1459200.0,0.0594423,0.0018503,0.042693762,0.019719084,1.1962837,0.042566745,0.000181173,350.84161,350.85017,351.01915,24.303,4.2693762000000004e-05,4.2566745e-05,1.9719084000000002e-05,1.81173e-07
4/14/2023,11:42 AM,0.1,4e-05,315.0,476148100.0,1978800.0,0.0616141,0.0011341,489534500.0,1501000.0,0.0584547,0.002281,0.038076663,0.021059073,1.1961101,0.038126686,0.000183566,350.84268,350.84803,351.01808,24.311,3.8076663e-05,3.8126686e-05,2.1059073000000003e-05,1.83566e-07
